algorithm,graph_type,graph_structure,dag_edges_directed,dag_edges_undirected,dag_nodes,train_size,repetition,seed,categorical,column_order_strategy,column_order,mean_corr_difference,max_corr_difference,propensity_metrics_avg_pMSE,propensity_metrics_pMSE_err,propensity_metrics_avg_acc,propensity_metrics_acc_err,k_marginal_tvd,mean_mi_difference,max_mi_difference,mean_ks_distance,nnaa
vanilla,,,0,0,0,50,7,49,False,worst,"[1, 2, 3, 0]",0.08984171774514697,0.17946321833871873,0.007948445182131631,0.00013189501705726815,0.5689116579628578,0.003541451107191327,0.2616666666666667,0.00011169633849943373,0.00011169633849943373,0.11700000000000002,0.55
vanilla,,,0,0,0,50,8,50,False,worst,"[1, 2, 3, 0]",0.04915340567096488,0.14948319664982285,0.00450122706722415,0.00028513235074820555,0.5588557103475174,0.004861606748867176,0.23925000000000005,0.00036482089561254926,0.00036482089561254926,0.07799999999999999,0.533
vanilla,,,0,0,0,50,9,51,False,worst,"[1, 2, 3, 0]",0.03554966105956236,0.07836499923515669,0.0030382591996343205,0.00010652935980590264,0.5451387131988584,0.004063582605431703,0.22975,0.00011169633849943375,0.00011169633849943375,0.057875,0.5345
vanilla,,,0,0,0,100,0,42,False,worst,"[1, 2, 3, 0]",0.06730649723841152,0.13379732763562335,0.0009322016537803704,8.777347536712824e-05,0.5351174335548725,0.0047648956805573135,0.27591666666666664,0.0002811052829020559,0.0002811052829020559,0.08299999999999999,0.55325
vanilla,,,0,0,0,100,1,43,False,worst,"[1, 2, 3, 0]",0.0240630051363472,0.049384920139936214,0.0013098219087398807,8.445696657541185e-05,0.5267736519794176,0.006312097761393234,0.215,0.00017062934953528762,0.00017062934953528762,0.049125,0.514
vanilla,,,0,0,0,100,2,44,False,worst,"[1, 2, 3, 0]",0.0901224836659094,0.18426288361984786,0.0010912084126201917,7.734398699911717e-05,0.5308316362364387,0.005577649438245092,0.23550000000000001,0.00017061823426692163,0.00017061823426692163,0.059125,0.519
vanilla,,,0,0,0,100,3,45,False,worst,"[1, 2, 3, 0]",0.039953588978684014,0.054247962502344316,0.0024514894832137054,0.00012563626247083043,0.527976786559656,0.0071745101524379505,0.23533333333333337,2.220446049250313e-16,2.220446049250313e-16,0.074875,0.55125
vanilla,,,0,0,0,100,4,46,False,worst,"[1, 2, 3, 0]",0.017813974247982877,0.026035442956331756,0.004393623466804315,0.00026141593591697877,0.5686994650857312,0.005567703588188959,0.22408333333333333,0.00022340286397890964,0.00022340286397890964,0.0385,0.5269999999999999
vanilla,,,0,0,0,100,5,47,False,worst,"[1, 2, 3, 0]",0.016510201083625272,0.05285611637311526,0.0009586309146398568,0.00013578444700378608,0.5211934524634575,0.007756033823778562,0.21608333333333332,0.00018239797064362312,0.00018239797064362312,0.039625,0.523
vanilla,,,0,0,0,100,6,48,False,worst,"[1, 2, 3, 0]",0.016120096174747297,0.040518188431547864,0.0039136717456061745,0.00023316789744706382,0.5429072883890113,0.00637139904514784,0.23116666666666666,0.00018239797064362312,0.00018239797064362312,0.0635,0.50075
vanilla,,,0,0,0,100,7,49,False,worst,"[1, 2, 3, 0]",0.04066697386920336,0.0898724928146507,0.002391609261599002,0.00015234797420391773,0.5245023144466308,0.006625189631734946,0.22208333333333338,0.00011169294289112423,0.00011169294289112423,0.0765,0.5235000000000001
vanilla,,,0,0,0,100,8,50,False,worst,"[1, 2, 3, 0]",0.01799674155150983,0.023760780982650664,0.0015658039836473326,0.00015186965073054004,0.5315702482512497,0.007434002585620418,0.22200000000000006,0.00035908694546551295,0.00035908694546551295,0.051500000000000004,0.518
vanilla,,,0,0,0,100,9,51,False,worst,"[1, 2, 3, 0]",0.06494559205507451,0.1326644997296868,0.002003544347484358,7.367764508363818e-05,0.5390913127486572,0.0037908517305923653,0.22024999999999997,0.00022339607229778465,0.00022339607229778465,0.056125,0.52025
vanilla,,,0,0,0,200,0,42,False,worst,"[1, 2, 3, 0]",0.03860187846073609,0.05853562808302404,0.00029559444766428275,6.578756714862315e-05,0.5048530114838204,0.00365540840196031,0.23875,0.00012897778261099983,0.00012897778261099983,0.05325,0.51325
vanilla,,,0,0,0,200,1,43,False,worst,"[1, 2, 3, 0]",0.028025021474960294,0.0759929581901142,0.0013924905732012106,0.00015831962590310116,0.5281069900789589,0.00567800860523158,0.21658333333333335,0.00022340625943244793,0.00022340625943244793,0.0565,0.53625
vanilla,,,0,0,0,200,2,44,False,worst,"[1, 2, 3, 0]",0.0747725138886582,0.1599244651109179,0.000730487863712619,6.23528619924208e-05,0.5051447549127946,0.006867124349834541,0.22208333333333333,0.00018239797064362312,0.00018239797064362312,0.042,0.52025
vanilla,,,0,0,0,200,3,45,False,worst,"[1, 2, 3, 0]",0.029801845284382105,0.05686164986613716,0.0003470888958790956,9.75534876444287e-06,0.5099549792928462,0.006597878810629713,0.21425000000000002,0.0001706182342669513,0.0001706182342669513,0.0305,0.5225
vanilla,,,0,0,0,200,4,46,False,worst,"[1, 2, 3, 0]",0.014674092335569036,0.03158698074137262,0.0015594065947690332,6.905912810681115e-05,0.5212499625501558,0.00821460758361976,0.22191666666666668,0.00018239797064362312,0.00018239797064362312,0.04775,0.50625
vanilla,,,0,0,0,200,5,47,False,worst,"[1, 2, 3, 0]",0.005005219495182002,0.014519696092864999,0.0017994958895026676,9.582666223819641e-05,0.5348045965116708,0.005213708664060672,0.2191666666666667,0.00011169633849947907,0.00011169633849947907,0.037500000000000006,0.5265
vanilla,,,0,0,0,200,6,48,False,worst,"[1, 2, 3, 0]",0.04846486818797149,0.10154178734739236,0.002917200201214673,0.0003069965799130316,0.540157210608713,0.008674754030379072,0.21575000000000003,0.00011169294289112423,0.00011169294289112423,0.0385,0.5045
vanilla,,,0,0,0,200,7,49,False,worst,"[1, 2, 3, 0]",0.02007980331870084,0.04526201075131479,0.0017270311742589133,0.00010914181550011419,0.5205712632664732,0.004051029439632322,0.21408333333333338,0.00018240212922376875,0.00018240212922376875,0.057375,0.51225
vanilla,,,0,0,0,200,8,50,False,worst,"[1, 2, 3, 0]",0.020400565495037385,0.05493545847888026,0.0011301531804903623,0.00010962853003902266,0.5215890819018975,0.01050131062708497,0.22050000000000003,0.00021388456882062582,0.00021388456882062582,0.044875,0.50375
vanilla,,,0,0,0,200,9,51,False,worst,"[1, 2, 3, 0]",0.07405345316300814,0.15014393863916387,0.000960870890273917,3.9410733311987065e-05,0.5215921718593067,0.008600628537655848,0.21591666666666667,0.0002811201266359772,0.0002811201266359772,0.05375,0.52875
vanilla,,,0,0,0,500,0,42,False,worst,"[1, 2, 3, 0]",0.026302445561302196,0.056317015807129944,0.0012777684362320321,0.0001278662796503361,0.5180194348092296,0.011007474806081795,0.21958333333333335,0.00017061823426692163,0.00017061823426692163,0.043125000000000004,0.53175
vanilla,,,0,0,0,500,1,43,False,worst,"[1, 2, 3, 0]",0.018451382360532915,0.03808608274463675,0.00021195829944467668,5.6818836193862014e-05,0.4822595985988274,0.01312286397197611,0.2046666666666667,0.00036482089561254926,0.00036482089561254926,0.02525,0.5217499999999999
vanilla,,,0,0,0,500,2,44,False,worst,"[1, 2, 3, 0]",0.04828724365605336,0.1004123859387028,0.0005184149273004914,5.580664715649488e-05,0.5083831008475197,0.0021149625790268124,0.20325000000000004,0.00025797026897843533,0.00025797026897843533,0.026875,0.5025
vanilla,,,0,0,0,500,3,45,False,worst,"[1, 2, 3, 0]",0.024101505208234644,0.0542685823097655,0.0008427918009542479,6.463272107000878e-05,0.5223164907179079,0.0022457449224654227,0.21141666666666667,0.00012897190128950488,0.00012897190128950488,0.044500000000000005,0.51275
vanilla,,,0,0,0,500,4,46,False,worst,"[1, 2, 3, 0]",0.04273751869093817,0.08936210799124875,0.0001975187726579321,4.665691999408387e-05,0.510568571055581,0.007734703899733453,0.21916666666666665,0.0002579614468788562,0.0002579614468788562,0.035375000000000004,0.51325
vanilla,,,0,0,0,500,5,47,False,worst,"[1, 2, 3, 0]",0.026743975614163484,0.053900850212825036,0.0007363143133645659,0.0001226298952782441,0.5170436613150065,0.010489056559825611,0.2145,0.00018241044733212404,0.00018241044733212404,0.046625,0.517
vanilla,,,0,0,0,500,6,48,False,worst,"[1, 2, 3, 0]",0.021424938374369578,0.045939214576135534,0.00017942198199443605,3.2638694608831006e-05,0.5137685449360567,0.0048023050897135185,0.22591666666666668,0.00022340286397895496,0.00022340286397895496,0.0345,0.51425
